Geography 2 3,Age group,Reference period,Persons(1000s)
"St. Catharines-Niagara, Ontario",65 years and over,2015,10.5
"St. Catharines-Niagara, Ontario",65 years and over,2016,10.9
"St. Catharines-Niagara, Ontario",65 years and over,2017,11.2
"St. Catharines-Niagara, Ontario",65 years and over,2018,12.6
"St. Catharines-Niagara, Ontario",65 years and over,2019,13.1
"Kitchener-Cambridge-Waterloo, Ontario",15 years and over,2015,305.7
"Kitchener-Cambridge-Waterloo, Ontario",15 years and over,2016,309.1
"Kitchener-Cambridge-Waterloo, Ontario",15 years and over,2017,318.1
"Kitchener-Cambridge-Waterloo, Ontario",15 years and over,2018,326.2
"Kitchener-Cambridge-Waterloo, Ontario",15 years and over,2019,340.7
"Kitchener-Cambridge-Waterloo, Ontario",15 to 24 years,2015,52.7
"Kitchener-Cambridge-Waterloo, Ontario",15 to 24 years,2016,48
"Kitchener-Cambridge-Waterloo, Ontario",15 to 24 years,2017,51.9
"Kitchener-Cambridge-Waterloo, Ontario",15 to 24 years,2018,51.7
"Kitchener-Cambridge-Waterloo, Ontario",15 to 24 years,2019,53.8
"Kitchener-Cambridge-Waterloo, Ontario",25 years and over,2015,253
"Kitchener-Cambridge-Waterloo, Ontario",25 years and over,2016,261.1
"Kitchener-Cambridge-Waterloo, Ontario",25 years and over,2017,266.2
"Kitchener-Cambridge-Waterloo, Ontario",25 years and over,2018,274.5
"Kitchener-Cambridge-Waterloo, Ontario",25 years and over,2019,286.9
"Kitchener-Cambridge-Waterloo, Ontario",25 to 44 years,2015,133.9
"Kitchener-Cambridge-Waterloo, Ontario",25 to 44 years,2016,134
"Kitchener-Cambridge-Waterloo, Ontario",25 to 44 years,2017,136.6
"Kitchener-Cambridge-Waterloo, Ontario",25 to 44 years,2018,144.8
"Kitchener-Cambridge-Waterloo, Ontario",25 to 44 years,2019,149.3
"Kitchener-Cambridge-Waterloo, Ontario",45 years and over,2015,119.1
"Kitchener-Cambridge-Waterloo, Ontario",45 years and over,2016,127
"Kitchener-Cambridge-Waterloo, Ontario",45 years and over,2017,129.5
"Kitchener-Cambridge-Waterloo, Ontario",45 years and over,2018,129.7
"Kitchener-Cambridge-Waterloo, Ontario",45 years and over,2019,137.6
"Kitchener-Cambridge-Waterloo, Ontario",25 to 54 years,2015,208.1
"Kitchener-Cambridge-Waterloo, Ontario",25 to 54 years,2016,206.6
"Kitchener-Cambridge-Waterloo, Ontario",25 to 54 years,2017,210.9
"Kitchener-Cambridge-Waterloo, Ontario",25 to 54 years,2018,217.7
"Kitchener-Cambridge-Waterloo, Ontario",25 to 54 years,2019,222.3
"Kitchener-Cambridge-Waterloo, Ontario",55 years and over,2015,45
"Kitchener-Cambridge-Waterloo, Ontario",55 years and over,2016,54.5
"Kitchener-Cambridge-Waterloo, Ontario",55 years and over,2017,55.3
"Kitchener-Cambridge-Waterloo, Ontario",55 years and over,2018,56.9
"Kitchener-Cambridge-Waterloo, Ontario",55 years and over,2019,64.6
"Kitchener-Cambridge-Waterloo, Ontario",55 to 64 years,2015,36
"Kitchener-Cambridge-Waterloo, Ontario",55 to 64 years,2016,44.2
"Kitchener-Cambridge-Waterloo, Ontario",55 to 64 years,2017,46.3
"Kitchener-Cambridge-Waterloo, Ontario",55 to 64 years,2018,46.9
"Kitchener-Cambridge-Waterloo, Ontario",55 to 64 years,2019,51.9
"Kitchener-Cambridge-Waterloo, Ontario",65 years and over,2015,9
"Kitchener-Cambridge-Waterloo, Ontario",65 years and over,2016,10.3
"Kitchener-Cambridge-Waterloo, Ontario",65 years and over,2017,9
