"","Industry","Year","AgeRange","Gender","ALTClaims","NLTClaims","FatClaims"
"743","Construction","2017","55-59","Female",11,24,0
"744","Construction","2017","55-59","Male",389,1004,1
"745","Construction","2017","60-64","Female",9,10,0
"746","Construction","2017","60-64","Male",212,559,0
"747","Construction","2017","65+","Female",2,19,0
"748","Construction","2017","65+","Male",70,479,2
"749","Construction","2018","15-19","Female",7,13,0
"750","Construction","2018","15-19","Male",156,469,0
"751","Construction","2018","20-24","Female",23,83,0
"752","Construction","2018","20-24","Male",581,2019,2
"753","Construction","2018","25-29","Female",23,92,0
"754","Construction","2018","25-29","Male",731,2475,2
"755","Construction","2018","30-34","Female",16,70,0
"756","Construction","2018","30-34","Male",634,2175,2
"757","Construction","2018","35-39","Female",17,54,0
"758","Construction","2018","35-39","Male",551,1717,1
"759","Construction","2018","40-44","Female",17,39,0
"760","Construction","2018","40-44","Male",429,1327,1
"761","Construction","2018","45-49","Female",13,33,0
"762","Construction","2018","45-49","Male",386,1206,0
"763","Construction","2018","50-54","Female",9,38,0
"764","Construction","2018","50-54","Male",478,1313,2
"765","Construction","2018","55-59","Female",6,17,0
"766","Construction","2018","55-59","Male",383,1166,8
"767","Construction","2018","60-64","Female",5,18,0
"768","Construction","2018","60-64","Male",241,593,3
"769","Construction","2018","65+","Female",5,15,1
"770","Construction","2018","65+","Male",79,483,4
"771","Construction","2019","15-19","Female",10,26,0
"772","Construction","2019","15-19","Male",170,548,3
"773","Construction","2019","20-24","Female",21,81,0
"774","Construction","2019","20-24","Male",596,2104,1
"775","Construction","2019","25-29","Female",17,105,1
"776","Construction","2019","25-29","Male",711,2515,3
"777","Construction","2019","30-34","Female",23,65,0
"778","Construction","2019","30-34","Male",655,2218,3
"779","Construction","2019","35-39","Female",18,44,0
"780","Construction","2019","35-39","Male",586,1885,2
"781","Construction","2019","40-44","Female",15,38,0
"782","Construction","2019","40-44","Male",445,1453,0
"783","Construction","2019","45-49","Female",14,40,0
"784","Construction","2019","45-49","Male",421,1183,1
"785","Construction","2019","50-54","Female",14,29,0
"786","Construction","2019","50-54","Male",456,1135,4
"787","Construction","2019","55-59","Female",9,34,0
"788","Construction","2019","55-59","Male",383,1134,0
"789","Construction","2019","60-64","Female",4,13,0
"790","Construction","2019","60-64","Male",222,627,2
"791","Construction","2019","65+","Female",6,42,0
"792","Construction","2019","65+","Male",97,572,2
"793","Education","2011","15-19","Female",27,93,0
"794","Education","2011","15-19","Male",62,216,0
"795","Education","2011","20-24","Female",19,47,0
"796","Education","2011","20-24","Male",18,36,0
"797","Education","2011","25-29","Female",23,67,0
"798","Education","2011","25-29","Male",6,46,0
"799","Education","2011","30-34","Female",15,49,0
"800","Education","2011","30-34","Male",16,29,0
"801","Education","2011","35-39","Female",22,50,0
"802","Education","2011","35-39","Male",23,39,0
"803","Education","2011","40-44","Female",34,67,0
"804","Education","2011","40-44","Male",21,34,0
"805","Education","2011","45-49","Female",48,94,0
"806","Education","2011","45-49","Male",28,51,0
"807","Education","2011","50-54","Female",67,109,0
"808","Education","2011","50-54","Male",36,55,0
"809","Education","2011","55-59","Female",53,91,0
"810","Education","2011","55-59","Male",33,44,0
"811","Education","2011","60-64","Female",24,45,0
"812","Education","2011","60-64","Male",13,36,0
"813","Education","2011","65+","Female",5,7,0
"814","Education","2011","65+","Male",4,23,0
"815","Education","2012","15-19","Female",24,112,0
"816","Education","2012","15-19","Male",66,224,0
"817","Education","2012","20-24","Female",15,59,0
"818","Education","2012","20-24","Male",15,51,0
